"","Use","Use.Burn.Type","Ref","Ref.Burn.Type","Silvicultural.Treatment","Fraction_Piled_Residues","Biomass.Collection"
"1",59,"None",57,"Broadcast","20% Thin From Above","0%","All Tech Recoverable"
"2",59,"None",61,"None","20% Thin From Above","0%","All Tech Recoverable"
"3",69,"None",71,"None","20% Thin From Above","30%","All Tech Recoverable"
"4",69,"None",77,"Pile and Broadcast","20% Thin From Above","30%","All Tech Recoverable"
"5",73,"None",71,"None","20% Thin From Above","30%","Piles Only"
"6",73,"None",75,"Pile","20% Thin From Above","30%","Piles Only"
"7",85,"None",87,"None","20% Thin From Above","50%","All Tech Recoverable"
"8",85,"None",93,"Pile and Broadcast","20% Thin From Above","50%","All Tech Recoverable"
"9",89,"None",87,"None","20% Thin From Above","50%","Piles Only"
"10",89,"None",91,"Pile","20% Thin From Above","50%","Piles Only"
"11",105,"None",103,"None","20% Thin From Above","70%","Piles Only"
"12",105,"None",107,"Pile","20% Thin From Above","70%","Piles Only"
"13",113,"None",111,"Broadcast","20% Thin From Below","0%","All Tech Recoverable"
"14",113,"None",115,"None","20% Thin From Below","0%","All Tech Recoverable"
"15",123,"None",125,"None","20% Thin From Below","30%","All Tech Recoverable"
"16",123,"None",131,"Pile and Broadcast","20% Thin From Below","30%","All Tech Recoverable"
"17",127,"None",125,"None","20% Thin From Below","30%","Piles Only"
"18",127,"None",129,"Pile","20% Thin From Below","30%","Piles Only"
"19",139,"None",141,"None","20% Thin From Below","50%","All Tech Recoverable"
"20",139,"None",147,"Pile and Broadcast","20% Thin From Below","50%","All Tech Recoverable"
"21",143,"None",141,"None","20% Thin From Below","50%","Piles Only"
"22",143,"None",145,"Pile","20% Thin From Below","50%","Piles Only"
"23",159,"None",157,"None","20% Thin From Below","70%","Piles Only"
"24",159,"None",161,"Pile","20% Thin From Below","70%","Piles Only"
"25",221,"None",219,"Broadcast","40% Thin From Above","0%","All Tech Recoverable"
"26",221,"None",223,"None","40% Thin From Above","0%","All Tech Recoverable"
"27",231,"None",233,"None","40% Thin From Above","30%","All Tech Recoverable"
"28",231,"None",239,"Pile and Broadcast","40% Thin From Above","30%","All Tech Recoverable"
"29",235,"None",233,"None","40% Thin From Above","30%","Piles Only"
"30",235,"None",237,"Pile","40% Thin From Above","30%","Piles Only"
"31",247,"None",249,"None","40% Thin From Above","50%","All Tech Recoverable"
"32",247,"None",255,"Pile and Broadcast","40% Thin From Above","50%","All Tech Recoverable"
"33",251,"None",249,"None","40% Thin From Above","50%","Piles Only"
"34",251,"None",253,"Pile","40% Thin From Above","50%","Piles Only"
"35",267,"None",265,"None","40% Thin From Above","70%","Piles Only"
"36",267,"None",269,"Pile","40% Thin From Above","70%","Piles Only"
"37",275,"None",273,"Broadcast","40% Thin From Below","0%","All Tech Recoverable"
"38",275,"None",277,"None","40% Thin From Below","0%","All Tech Recoverable"
"39",285,"None",287,"None","40% Thin From Below","30%","All Tech Recoverable"
"40",285,"None",293,"Pile and Broadcast","40% Thin From Below","30%","All Tech Recoverable"
"41",289,"None",287,"None","40% Thin From Below","30%","Piles Only"
"42",289,"None",291,"Pile","40% Thin From Below","30%","Piles Only"
"43",301,"None",303,"None","40% Thin From Below","50%","All Tech Recoverable"
"44",301,"None",309,"Pile and Broadcast","40% Thin From Below","50%","All Tech Recoverable"
"45",305,"None",303,"None","40% Thin From Below","50%","Piles Only"
"46",305,"None",307,"Pile","40% Thin From Below","50%","Piles Only"
"47",321,"None",319,"None","40% Thin From Below","70%","Piles Only"
"48",321,"None",323,"Pile","40% Thin From Below","70%","Piles Only"
"49",383,"None",381,"Broadcast","60% Thin From Above","0%","All Tech Recoverable"
"50",383,"None",385,"None","60% Thin From Above","0%","All Tech Recoverable"
"51",393,"None",395,"None","60% Thin From Above","30%","All Tech Recoverable"
"52",393,"None",401,"Pile and Broadcast","60% Thin From Above","30%","All Tech Recoverable"
"53",397,"None",395,"None","60% Thin From Above","30%","Piles Only"
"54",397,"None",399,"Pile","60% Thin From Above","30%","Piles Only"
"55",409,"None",411,"None","60% Thin From Above","50%","All Tech Recoverable"
"56",409,"None",417,"Pile and Broadcast","60% Thin From Above","50%","All Tech Recoverable"
"57",413,"None",411,"None","60% Thin From Above","50%","Piles Only"
"58",413,"None",415,"Pile","60% Thin From Above","50%","Piles Only"
"59",429,"None",427,"None","60% Thin From Above","70%","Piles Only"
"60",429,"None",431,"Pile","60% Thin From Above","70%","Piles Only"
"61",437,"None",435,"Broadcast","60% Thin From Below","0%","All Tech Recoverable"
"62",437,"None",439,"None","60% Thin From Below","0%","All Tech Recoverable"
"63",447,"None",449,"None","60% Thin From Below","30%","All Tech Recoverable"
"64",447,"None",455,"Pile and Broadcast","60% Thin From Below","30%","All Tech Recoverable"
"65",451,"None",449,"None","60% Thin From Below","30%","Piles Only"
"66",451,"None",453,"Pile","60% Thin From Below","30%","Piles Only"
"67",463,"None",465,"None","60% Thin From Below","50%","All Tech Recoverable"
"68",463,"None",471,"Pile and Broadcast","60% Thin From Below","50%","All Tech Recoverable"
"69",467,"None",465,"None","60% Thin From Below","50%","Piles Only"
"70",467,"None",469,"Pile","60% Thin From Below","50%","Piles Only"
"71",483,"None",481,"None","60% Thin From Below","70%","Piles Only"
"72",483,"None",485,"Pile","60% Thin From Below","70%","Piles Only"
"73",545,"None",543,"Broadcast","80% Thin From Above","0%","All Tech Recoverable"
"74",545,"None",547,"None","80% Thin From Above","0%","All Tech Recoverable"
"75",555,"None",557,"None","80% Thin From Above","30%","All Tech Recoverable"
"76",555,"None",563,"Pile and Broadcast","80% Thin From Above","30%","All Tech Recoverable"
"77",559,"None",557,"None","80% Thin From Above","30%","Piles Only"
"78",559,"None",561,"Pile","80% Thin From Above","30%","Piles Only"
"79",571,"None",573,"None","80% Thin From Above","50%","All Tech Recoverable"
